vendor,product,result
freebsd,freebsd,"{""description"": ""The FreeBSD src tree publish-only repository. Experimenting with 'simple' pull requests...."", ""createdAt"": ""2011-09-05T12:55:55Z"", ""homepageUrl"": ""https://www.FreeBSD.org"", ""diskUsage"": 3221593}"
jgaa,warftpd,"{""description"": ""High performance file sharing service"", ""createdAt"": ""2017-10-19T11:50:24Z"", ""homepageUrl"": null, ""diskUsage"": 91}"
unix,unix,"{""description"": null, ""createdAt"": ""2020-07-09T00:55:26Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
openssl,openssl,"{""description"": ""TLS/SSL and crypto library"", ""createdAt"": ""2013-01-15T22:34:48Z"", ""homepageUrl"": ""https://www.openssl.org"", ""diskUsage"": 289989}"
gnome,gdm,"{""description"": ""Read-only mirror of https://gitlab.gnome.org/GNOME/gdm"", ""createdAt"": ""2012-06-02T23:00:54Z"", ""homepageUrl"": ""https://gitlab.gnome.org/GNOME/gdm"", ""diskUsage"": 45667}"
webmin,webmin,"{""description"": ""Powerful and flexible web-based server management control panel"", ""createdAt"": ""2009-07-20T22:03:42Z"", ""homepageUrl"": ""http://www.webmin.com/"", ""diskUsage"": 120086}"
nlog,nlog,"{""description"": ""NLog - Flexible and Structured Logging for various .NET Platforms"", ""createdAt"": ""2012-09-12T13:49:29Z"", ""homepageUrl"": ""https://nlog-project.org"", ""diskUsage"": 117860}"
hylafax,hylafax,"{""description"": ""HylaFAX Software"", ""createdAt"": ""2010-08-05T16:32:58Z"", ""homepageUrl"": ""http://www.hylafax.org"", ""diskUsage"": 6109}"
glftpd,glftpd,"{""description"": null, ""createdAt"": ""2015-12-04T20:59:41Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
lcdproc,lcdproc,"{""description"": ""Client/server suite for controlling a wide variety of LCD devices"", ""createdAt"": ""2016-07-22T10:13:59Z"", ""homepageUrl"": ""http://lcdproc.org/"", ""diskUsage"": 4354}"
openldap,openldap,"{""description"": ""Mirror of OpenLDAP repository"", ""createdAt"": ""2016-04-27T16:53:11Z"", ""homepageUrl"": ""http://www.openldap.org/devel/contributing.html"", ""diskUsage"": 55891}"
mozilla,bugzilla,"{""description"": ""bugzilla.mozilla.org source - report issues here: https://bugzilla.mozilla.org/enter_bug.cgi?product=bugzilla.mozilla.org"", ""createdAt"": ""2014-03-12T01:03:55Z"", ""homepageUrl"": ""https://bugzilla.mozilla.org"", ""diskUsage"": 66466}"
imp,imp,"{""description"": null, ""createdAt"": ""2023-11-25T12:55:27Z"", ""homepageUrl"": null, ""diskUsage"": 3}"
icq,icq,"{""description"": ""icq"", ""createdAt"": ""2010-09-01T15:24:09Z"", ""homepageUrl"": ""http://icq.github.com"", ""diskUsage"": 48}"
apache,tomcat,"{""description"": ""Apache Tomcat"", ""createdAt"": ""2011-10-01T07:00:19Z"", ""homepageUrl"": ""https://tomcat.apache.org"", ""diskUsage"": 180455}"
horde,horde,"{""description"": ""This is the old, deprecated, monolith Horde repository, archived here for historical reasons."", ""createdAt"": ""2010-08-28T22:06:38Z"", ""homepageUrl"": ""http://www.horde.org/"", ""diskUsage"": 315810}"
horde,imp,"{""description"": ""A web based webmail system"", ""createdAt"": ""2017-10-03T15:32:03Z"", ""homepageUrl"": ""https://www.horde.org/apps/imp"", ""diskUsage"": 29587}"
balabit,syslog-ng,"{""description"": ""syslog-ng is an enhanced log daemon, supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL."", ""createdAt"": ""2013-11-05T16:22:02Z"", ""homepageUrl"": ""https://www.syslog-ng.com"", ""diskUsage"": 40811}"
iputils,iputils,"{""description"": ""The iputils package is set of small old utilities for Linux networking."", ""createdAt"": ""2014-04-18T12:14:53Z"", ""homepageUrl"": """", ""diskUsage"": 3692}"
gnome,gtk,"{""description"": ""Read-only mirror of https://gitlab.gnome.org/GNOME/gtk"", ""createdAt"": ""2012-06-03T13:03:40Z"", ""homepageUrl"": ""https://gitlab.gnome.org/GNOME/gtk"", ""diskUsage"": 733984}"
tinyproxy,tinyproxy,"{""description"": ""tinyproxy - a light-weight HTTP/HTTPS proxy daemon for POSIX operating systems"", ""createdAt"": ""2015-12-07T14:11:44Z"", ""homepageUrl"": null, ""diskUsage"": 2035}"
proftpd,proftpd,"{""description"": ""ProFTPD source code"", ""createdAt"": ""2014-05-16T16:22:01Z"", ""homepageUrl"": ""http://www.proftpd.org"", ""diskUsage"": 76479}"
phpmyadmin,phpmyadmin,"{""description"": ""A web interface for MySQL and MariaDB"", ""createdAt"": ""2012-01-19T13:21:52Z"", ""homepageUrl"": ""https://www.phpmyadmin.net/"", ""diskUsage"": 2220702}"
phppgadmin,phppgadmin,"{""description"": ""the premier web-based administration tool for postgresql"", ""createdAt"": ""2011-02-12T21:22:31Z"", ""homepageUrl"": ""https://github.com/phppgadmin/phppgadmin"", ""diskUsage"": 12681}"
sane,sane,"{""description"": ""Sane Stack - A Sails and Ember cli to get you kickstarted with app development"", ""createdAt"": ""2014-08-12T12:23:53Z"", ""homepageUrl"": ""http://sanestack.com/"", ""diskUsage"": 1912}"
phpbb,phpbb,"{""description"": "" phpBB Development: phpBB is a popular open-source bulletin board written in PHP. This repository also contains the history of version 2."", ""createdAt"": ""2010-03-01T22:33:17Z"", ""homepageUrl"": ""https://www.phpbb.com"", ""diskUsage"": 92952}"
atheos,atheos,"{""description"": ""A self-hosted browser-based cloud IDE, updated from Codiad IDE"", ""createdAt"": ""2019-09-15T15:13:33Z"", ""homepageUrl"": ""https://www.atheos.io/"", ""diskUsage"": 22427}"
ettercap,ettercap,"{""description"": ""Ettercap Project"", ""createdAt"": ""2012-07-14T02:50:27Z"", ""homepageUrl"": ""http://www.ettercap-project.org"", ""diskUsage"": 91686}"
gator,gator,"{""description"": null, ""createdAt"": ""2022-06-13T22:15:06Z"", ""homepageUrl"": ""https://gator.sh"", ""diskUsage"": 60791}"
xerver,xerver,"{""description"": ""Config files for my GitHub profile."", ""createdAt"": ""2021-11-02T17:13:00Z"", ""homepageUrl"": ""https://github.com/Xerver"", ""diskUsage"": 0}"
listar,listar,"{""description"": ""\u4e2a\u4eba\u4ecb\u7ecd"", ""createdAt"": ""2021-05-31T12:14:28Z"", ""homepageUrl"": null, ""diskUsage"": 6}"
inn,inn,"{""description"": ""WordPress child theme for INN.org. Requires Largo parent theme (https://github.com/INN/largo)"", ""createdAt"": ""2013-07-18T16:49:13Z"", ""homepageUrl"": ""https://inn.org"", ""diskUsage"": 50351}"
postboard,postboard,"{""description"": ""Post Board"", ""createdAt"": ""2015-06-13T07:46:34Z"", ""homepageUrl"": null, ""diskUsage"": 0}"
distrotech,cvs,"{""description"": null, ""createdAt"": ""2013-06-19T13:35:25Z"", ""homepageUrl"": null, ""diskUsage"": 4816}"
seanox,devwex,"{""description"": ""Minimalist experimental server engine with a modular architecture"", ""createdAt"": ""2014-03-09T09:20:05Z"", ""homepageUrl"": """", ""diskUsage"": 8710}"
kde,konqueror,"{""description"": ""Web browser and Swiss Army knife for any kind of file management and previewing"", ""createdAt"": ""2016-11-05T12:57:20Z"", ""homepageUrl"": ""https://invent.kde.org/network/konqueror"", ""diskUsage"": 198950}"
irssi,irssi,"{""description"": ""The client of the future"", ""createdAt"": ""2014-05-30T22:11:55Z"", ""homepageUrl"": ""https://irssi.org"", ""diskUsage"": 8634}"
libesmtp,libesmtp,"{""description"": ""Official libESMTP repository."", ""createdAt"": ""2020-06-29T14:14:38Z"", ""homepageUrl"": ""https://libesmtp.github.io/"", ""diskUsage"": 687}"
mantis,mantis,"{""description"": null, ""createdAt"": ""2021-01-17T15:44:42Z"", ""homepageUrl"": null, ""diskUsage"": 1}"
net-snmp,net-snmp,"{""description"": ""A SNMP application library, tools and daemon"", ""createdAt"": ""2018-04-09T19:19:27Z"", ""homepageUrl"": null, ""diskUsage"": 75393}"
apple,cups,"{""description"": ""Apple CUPS Sources"", ""createdAt"": ""2015-10-12T22:33:18Z"", ""homepageUrl"": ""https://www.cups.org"", ""diskUsage"": 105752}"
geneweb,geneweb,"{""description"": ""GeneWeb is a free (as in free speech) genealogy software with a web interface created by Daniel de Rauglaudre."", ""createdAt"": ""2013-11-12T08:45:43Z"", ""homepageUrl"": """", ""diskUsage"": 82312}"
dotproject,dotproject,"{""description"": ""Stable 2 series"", ""createdAt"": ""2013-07-26T04:41:58Z"", ""homepageUrl"": null, ""diskUsage"": 14839}"
scponly,scponly,"{""description"": ""The scponly pseudo-shell provides a file-transfer only shell for *Nix systems with optional support for using a chrooted environment."", ""createdAt"": ""2011-10-10T19:02:45Z"", ""homepageUrl"": """", ""diskUsage"": 947}"
