github repo,cve vendor,cve product
facebook/react,Facebook,react-native
vercel/next.js,vercel,next.js
rust-lang/rust,rust-lang,rust
denoland/deno,denoland,deno
tauri-apps/tauri,tauri-apps,tauri
ChatGPTNextWeb/ChatGPT-Next-Web,chatgptnextweb,chatgpt-next-web
protocolbuffers/protobuf,protocolbuffers,protobuf
hoppscotch/hoppscotch,hoppscotch,hoppscotch
starship/starship,starship,starship
ClickHouse/ClickHouse,clickhouse,clickhouse
NervJS/taro,nervjs,nervjs/taro
lapce/lapce,lapce,lapce
hasura/graphql-engine,hasura,graphql-engine
SeleniumHQ/selenium,seleniumhq,seleniumhq/selenium
